Data,Label
 Robi bondo sim a ki offer ace ,0
 Amar sim ta 3mas jabot bondo ...ami ki kono offar pabo ,0
 airtel r robi ek sathe mane? ,0
 robi r airtel er network ek shate korte ki kora pryojon ,0
 news e sunlam jey robi .  airtel sim ek hoyee gechey .  amar to robi sim achey .  ki kortey hobey? ,0
 *21291*15# dail korle ki offer? ,0
 vaiya ami kichu din age robir akta notun sonjog niyeci tokhon 50tk recharge 6 GB deyar kotha cilo kintu ami peyeci 1GB ar 5GB kobe pabo.....?? ,0
Robi shongkrato je kono tottho janar jonno onugrogho kore amader likhun.,0
Onugroho kore bisratito janaben ki kon offer ti shomporke jante chacchen?,0
Onugroho kore janaben ki je apni kon number theke sms pacchen ? ,0
Onugroho kore janaben ki je apni kon package ti niyechen amader Ghechang store theke?,0
Er kono sms ki peyechilen? ,0
Er kono sms ki peyechen? ,0
Kon number theke sms ashe kindly janben ki? ,0
 Ami *122*25# dial korle ki amar airtel bondo sim offer nosto habe ,0
Taka recharge korar por .  apnar taka kete neya hocche er jonno apni kono SMS pacchen? ,0
ta ami koto din use korte parbo? ,0
 Blank sms to 1600 korle ki hobe?? ,0
 49 tk recharge a 300 mb ki sudhu ekdin er jonno naki 7 din 300 mb kore total 2100 mb paoa jabe? ,0
 akn bondho simer kono offer ase ki??? ,0
 16 tk ar offer ta bolben?? ,0
 ami sobar age message disilam ai message asche ar mani ki ami bijoyi? ,0
Amr khub dorkar ei number sim Ami akhn ki korbo janabn pls???? ,0
 300minute kine kivabe...meyad koydin..ar koto taka katbe?? ,0
 0ti amar phn no 01961638710 ,0
 postpaid sim ar jonno ki akoi code? ,0
 24hours use kora jabe naki ,0
 bkash theke recharge korle offer ta pawa jabe? ,0
 Taka katar sb option off korle Ami j free minit kini.oi tao ki off hoye jabe? ,0
 Answer diya lab ni just akta kotha janta chassi ja 49 tk othala ja protidin 5 min kora daoya hoy ta ki super fnf a use kora jaba. ,0
 golpota pore khub kanna peyece.jokhon apon jon kace thake bujhte parina take kotota valobasi jokhon dure cole jay tokhon kostota bujhie dey se koto apon. ,0
 Vlo oo lagse abr may tar jnno khub kosto oo lagse ,0
 kentu jar hate ni se loko sporso korbe kevabe? ,0
 tar theke to valo sobay chaina tahole keno jay ,0
 cesta korte hobe ke jane kothay kar vaggo ,0
 Tahole amy akta upodes den na plz.amr aktu upodes proyojon.ki korbo vebe pascina. ,0
 Sakib er gf hoye movi korar chasta korso R jake tomi koyek bosor age uncal .  baba bole dakeso tai na Dighi . ,0
 Jodi kew ase pase thaken ????????? tahole help koren .  Manus to manuser e jonno ,0
 Sotti jibon ta onnak koster.same sontan der soker jonno nijer jibon bisurjon dete hoy. ,0
 last part ta abar lekho are tate happy ending koro jate hobe emon are imon er happy ending ,0
 cele ta to ter kariar gore tule ...ferao aste pare ,0
 Jibona ro koto golap ar kotha sonte hobe ,0
 golpo ki akhanei ses na ki aro ache ,0
 Kisu bondu chai hobe ki ,0
 Bangladesh e kobe hobe? v ,0
 Asolye amra ke valo achi ? ,0
 #milon vi .  kotha ta amk bollen.? ,0
 Kothay??? Kew news ta pore thakle janaben plz ,0
 Sobay seriously kotha koi xD A.I. Samir ar ami haste haste mori jai re  ,0
 Prothom alo ke Egypt er bortoman gonotantrik bebostha nie aktu report korar jonno onurodh korchi. ,0
 Kno sorkr ke a to doridro hoya have ,0
 tar jonmar kooak bochor por ki tar hhato r jonmo hoisa??? ,0
 ei bangladesh   Asaduzzaman noor   er keno hoe na.????????? ,0
eder vetor kichu akta hoye jacce,0
 shakib bhai ctg bepar ta niye ekta post dile valo hoy eta fake na real? ,0
 Apne diben ni apnar mobile ta panite falate ,0
 travelling na kore or opai ase ? ,0
 Enara Tayeba ei picchi ta ke kalke coffeelicious e dekhlam na?? O shakib er meye kemne.... ,0
 Vai apnar tk nilo kamne??o to tk income kore nise ,0
 sakib vy jody apner sontan hoto tahole koto na jani cricket khelten ,0
 so nice apner meyeka amar kache biye diben ,0
 Shakib vai ami apnar chotu vaier motu tao akta kotha boli rag korben na plz.. Vabike porda koran tahole khob valo hobe ,0
 bouke golder moto save kora uchit  .  .  .  .  .  . open bananar moto noy  .  .  .  ,0
 vaI dekhen?? masrafi & shakib 2jone Bangladesh er player bt era ja suru korche mone hoy india ar Pakistan e juddho lagche bujlam na? ??? ???? kichu bolen vai ,0
 english subtitle dile valo hoto...,0
 vai apnar bat er price koto pls boilen ,0
 ranna te sweet er poriman besi dien tahole likedish ta sob fb user test kore khusi hoya apnar comment e like dibe. ,0
 ha ha ha..Aunty bolle mone hoi may ra lojja pai noi Hus hus korbe kan ,0
 vaiya age apnake cute lagto but picchi Ta asar por theke apni ar or pic dile shudhu picchi Ta ke samnasamni dekhte mon cai.. ,0
 Mathay cul boro holy cute Ta k aro onk cute lagby ,0
 babu ta ke akto dorte mon chai  ,0
 vaiya tmr cute mamoni k niyae live a aso ,0
 Pls Bpl e ebar monojhog die khelo ,0
 Jemon baba temon meye baba re baba... ,0
 Tomar moto amar o akta baby ase .  ,0
 Vaiya Ami aponar khub boro fand ,0
 ai onuvhuti bola jabe na duniar shob kisu theke alada ,0
 sakib vaiar sathe dekha korte chai. ,0
 Ata ki apnar sala na maaa ,0
 The pitch lekha keno restaurant er nam e? ,0
 Shakib bi amr khub Eicca apnaka dakar.. jani na kono din se sogog pabo ki na? ,0
 Chittagong e kopal bhalo thakle series 2 0 te bangladesh jitto ,0
 Vi Rabbi k keno team e rakha holo? Fielding er jonno? ,0
 Somoy ta hoy tiger ar bacha ar somoy hoy vali bacha ,0
 amr sathe kotha bt ki vabe.... ,0
 nothing to say about it ,0
 Sakib vai apnar kache aro valo batting chai ,0
 chokhe pani dhore rakhte parlamna ,0
 Sakib bhai jati apner kach theke kalke onek run na paren kichu run asha korteche## 300+ target dile amrai histry creat korte parbo tar jonne dorkar 1707 plz ar kadte chai na ,0
 Vai ekhon emon target niye khelte hobe jeno amra 180+ target e bat korci. r 7 wickets in hand ,0
 Tomra jodi amader k nau ,0
 boro golay kotha na bole mathe thik vabe kaj kora uchit ,0
 Ami tor kache alada kichu chai... ,0
 shakib bi apnar sathe ekto kotha bolte khob iche kore ,0
 Shakib da ke blowing krte dilo na dile onek age england all out hoye jeto ,0
 sixty na kore out howa jabe na ,0
 Ababe bad dite hole to sobaike i bad dite hobe karon sobar karap somoy ashe. ,0
 mus . riyad . sakib ai 3 jon senior player tai batting r somoy aro onk dayotoshil hote hobe.......r hom .  rabbi ai sob aje baje player ke dole na niye rubel . alamin . taskin ai sob player ke dole nite hobe.. ,0
 Toba r aktu vlo korar sujok cilo mone hoi ,0
 ????? bat e aro valo korte hobe...... musfiq r valo khlete hobe ,0
 mehedir nam ta dilei valo hotoo ,0
 R a vai apnar moto allrounder jode 4 inings bat kore 1 ta 50 nai dete pare taile r bangali ke asha kore apnar kas theke .  Ashole bangali ontoto apnar kas theke ke chai eta aktu bojhen ,0
 sei din tá kobe áshbe ,0
 hmmm dekhi ki hoi .  Abar amader ashar to ses nei.... ,0
Bhai ami apnar onek boro fan..,0
 Proti diner kotha but kokhon.uthba ,0
 Dui ran niye dile ki hoto na aj amra jite jetam ,0
 India ki kor lo bhai ,0
 Taijul ke Kamrul er jaigay namale pressure ta kom thakto..,0
Kopal e ja thake tai hobe.,0
 Boss tmi r ekto somoy criz a thakle valo hoito ,0
 allah e janen ki hoi kl ,0
 Sabir nauko par korbe na ki ,0
 tomar ek akta ball amr hridoy er ak akta spondon ,0
 Tumi ato boro cmnt likhso akhn ae post e likhar jonno ?  ,0
 Bangladesh r run ta kom hoia gese...lead nea uchit chilo 30 35 run r...test e 300+ chase kore jita onek tough.,0
 sakib vai batting er time a eto pressure niyen na .  mone korben apni gramer polapain er shate khelte ashcen .  tension free thaiken .  tahole din ta amader o hote pare ,0
 valo kicu amra sob somoy asha kore thaki ,0
 pis er je obostha tate bd 200 kortei koshto hoy jabe boiki. ,0
 Muhammad Mehedi Hasan Its a game. je kono kichu hote pare akhane. jehetu valo position a ace tay akti ullashito howatay shavabik.. Ato depress howar to kichu dekhchi na ,0
 Tomake dheirjo dhore khelte hobe jeno allor rohom century korte paro.ar ai muhurte tumi doler kandari. ,0
 ?vi apni 100 run korar cesta koiren...test e player jodi century korte na pare oi test match moja lage na ,0
 Try to stay on track ,0
 ami jodi add kortam aro valo hoto ,0
 Shakib bhai pls batting a mon den.. Jebhabe tamim nijeke develop koreche sebhabe ,0
 Sob baba e chat tar sontan oprotiroddo hok Sakib al hasan tar e proman dilen ,0
 Sakib vai apnak ami eto beshi love kori je...ami mone hoi pagol hoye jabo. ,0
 ato taratari shakib vaiyar meye ke satar sikhasce.karon ta to amra jani na . ato coto sishu satar katce bepar ta ki? ,0
 eto kichu buji na boss alaina ke ekti varer jonna kole nite chai ei cutee r dibba ke ,0
Allah kobe amake emn ekta baba banabe.... ,0
 atto pakna tuntuni kn???? 1yr hoy nai akhono kintu boroder moto vab... * ,0
 mar cokka mar ball mere kore de baire pacar ,0
 akei bole baba r mey ,0
 baba cricketer ma computer meye ki swimieer hobe ,0
 Bro Amar Mamuni take khub dekhte icche korche ,0
 Next babu ta apnar moto chai amra ...  ,0
 Picci ta ato cute kano.... ,0
 Cricket to khelna aata ni swimming hi karo. ,0
 ohh..mamuni ami O tomar sathe satar kadbo ,0
 Cricket onishcit khela..... hoyto hoteo pare abr hote na pare ,0
 hmm..... or replace a jdi okhane NASIR thaktooo . .....taile hoyto kichu akta hoto ,0
 onumoti nisen thik ache bt comment a to credit dilen na eikhaner public sadat vaiyer follower se jonno bujte parse na hole to r boltenina. Abu Saleh MD Nasim ,0
 valo korleo dos nejar jonno kore. r kharap korle to r kono kothai nai ,0
 last ar catch ta dhorte parle may b ses ta onno korom hoto .... ,0
 Vhai tui batting e arektu unnoti kor  ,0
 team selection thik hote hobe sakib vai.... ,0
 kayes er drpd na holey onnorokom hote parto. ,0
 Mostafij takle aro balo korto ,0
 asa kori ar nasir ka jano bad na daoa hoi.suumy ar jaigai annamulka dakta chai joto tara tari somvob taka dola daka hok ,0
 shakib batting a kharap kore kano ,0
Betting a kub Valo kora dorkar ay betting Amader karo mon vortece na + blowing a ran kom dewa tao dorkar.,0
Ar BCB er kache request .  Nasir Bhai ke ekta chance dewa uchit.,0
 Dekh6i onekei mosaddek ke niye baje kotha bol6e. But ami mone kori o ekjon valo batsman. Tobe mosharraf er jaygay obossoi nasir ke neya jete pare. ,0
 Nasir er 80 ta girl frnd. Or moneybag a darun akta jinish paoa gese. Tai ore bad deoa hoise ,0
 nasir k dole dekhte chai ,0
 ei match a Nasir k dekte chai ,0
 Kalke tomake khuje pawa jabe na.ata amora jani ,0
 yes Bhaia amra dekhte cai ,0
 Kono kaj a deba na amon khale  . sobai k lorte hobe valo kore ta na hole jita sohoj hobe na ,0
 Sakib vai. 2kelai jeno amra mate haste pari. And nasir er kelaki ar dekte pobona. ,0
 mosharof ar jagye amra nasir k cai ,0
Nasir k team a cai ,0
 akhn oi short take kharap short bolchen r 1 ball age porjonto jkhn oi rokom short gula mere run korchilo tkhn thik chilo ,0
 sobai Shakib Tamim Mustafiz er dike takiye thake a 3jon valo korle easilly jite noyto parena ,0
 Bangladesh team hera jauar por sobai kosto paice but hate korar moto kecu nei. ,0
bt samner nasir ke chai e chai.,0
 Aktu dhorjo dhore khelte hobe ............tobe bolar der aktu bating practice kora dorkar .....tara bole bat lagatei pare na .........r koto jita mach harbe Bangladesh . ,0
Batsman ra and bowler ra valo korche....sudhu fielding ta ektu kharap hoiche ,0
Sob team er 8 no. te ekjon all rounder name sekhane amader team e kno Mashrafee k namte hob ,0
tomar kache tomar century ta e boro chilo . ,0
 Shakib bhai tumi Ei rokom khelo etai chai bUt ektu dhoirjoshil hou bhai....R aro beshi run korar cesta koro ,0
 vai musharaf er theke nasir onek valo khalwer....ore akta sujug then ,0
 last match a last e j 2ta player k namano hoysilo nxt match a tader na namle valo kisu asha kora jay  ,0
 Aishob asha ar bhalo laga na  jodi musfiq.musaddek . Rubel ka bad den toba asa nia takbo      thnkx Shakib good knock ,0
pls parle nasir k team a nen..,0
 BCB ..k ami onurodh korbo ..moossarraf rubel er jai gai jno nasir hossain khele. ,0
 Vai aktu Request koran Nasir jonno or moto player k kano apna ra Bad den... ,0
 Ato valo kheleo win hote arlam nah .  .  .  . koste buk ta faita jacce .  .  .  .  .  .  . vai plz nasir vai k anen plz ,0
 vi akta kotha boli 4 r 6 marlei 100 kora jaina 1 . 2run kore single o nite hoi matha hot kore khelle number 1 all rounders jaiga ta haraben akto cool hoye khelben ,0
 WE want to back for NH69.kuno bekti sharte noy desher valor jonno team a nasir k chai ,0
 BCB er dristi akorson korci. ,0
 .Musfique er jaigai ki Anamul Haque Bijoy re nea jai na,0
 . R ki mosaddek . mossaref faul polapain er thekeo ki Nasir kharap ,0
 vaya kono bapar na..next match ta jeten ei doya kori.. series jitle 20 taka mosjid e debo ,0
 finisher nai ektaosobai eto chape thaken keno?eto chape to onno kono team thake namasrafi bat dhorte pare na but age name ,0
 Shakib vai ato tara hura na kre test mato khelle amra jittam tmi senchuri paite ,0
 Sakib out hober age break ta na nile match onno rokom hoto hoyto ....ekn kake dibo sakiber break take ...naki ? ,0
 Tumi aka r koto agi nie jabe ......faltu batting line k.....anyway congrats to sakib...... ,0
 kotha 1tai next match a Mosharrof ke bad diye Nasir ke dekhte chai.... ,0
 mosarof rubel k bad diye oi jaigai nasir k sujog deua hok..tate onttoto doler valo hobe... ,0
 ki j kori kicu e valo laga na..vai apnader kase akta request mosadekh er jaigei nasir vai k akta bar chances dan...? ,0
 boss apni osadaron kelcen..... apni jodi single run niten tahole amn ta hoto na ,0
 Bai Apne jodi aktu Tanda matay kelten tahole hoyto amra win korte partam ,0
 viyya keno match ses kore aslen na.???apni thakle amra 4 over age jite jetam.....tmr sathe ari....onek rag korlam tmr upor.......kintu avabei valobese jabo tomai sarajibon.... ,0
 amon sujuk ar asbe bole mone hoyna.... mosfiq mosaddek masrafi ses ashe kayes ato guli boll dekhe o kano Risc nite gelo........ ,0
 sakib vai er oi moment a emon abal short khalar kono mane chilo na. single khellei match ta win hote partam ,0
 Kono kotha bolte iccha korchea na..ai holo bangladesh ato baje khelte pare ora...why??? 2714 and 288 finis very sad ,0
 ami bol bo masta sakib ar jonno porajoy hoasa karon baja shot korar ki dor kar chilo ,0
 Dur ball..air rokom match aro deksi..ek khota bar bar kois na..Kobe tora samne zabi....bowler gulare parole ektu batting kivabe korte hoi sikhais ,0
 Joy ar khub kase giye avabe heree jawa ta mene nite kosto hoi amader.. ,0
 Boss Tmi e sera but Finishing ta dewa uchit cilo ,0
 sakib tomer last dikha imrul k follow kora uchit cilo ,0
 Ai match harle r kichu bolar thake na     ,0
 oikhane bola jabenare samnasamni or mbl e koite hoibo ,0
 Sakib re 6 number a batting korte dile jitbe kibave... ,0
 nasir vai k miss korlo gota bangladesh.tar jayga ar karo jonno noy ,0
 Bhai Bengali to Ki bolbo kicu bolar ny koja pacce nh ke bolbo ,0
 vaiya ei match jitte paren ni .  r kono match e parben na mone hoi ,0
 Vai onek kharap laglo eto valo khelew match ta hare gelam 1tu thanda mathai khele win hotam  ,0
 vi sob ei thik cilo tumi ar kichukhon thakle amrai jittam ,0
 aj k ata ki holo .  .  .  amader hate e tho ??? ?? ??? ,0
 Amder celera kothay boro na hoye kaje boro hobe kobe ??? ,0
 Asole amader luck kharap silo.... Tobe match er important moment e EU dhoroner catch miss kora thik noy.....,0
Tobe amader bowler dik ke ektu batting practice kora uchit... At least bat e ball lagate jeno pare.... Tobe vai team er pryojon e apner jole utha sotty awesome..... ,0
 Apnar uchit cilo match sesh kre asa. ,0
 keno nasir k dole neina.nadir ki khelowar na.na khelte jane na ,0
 Ha ha haaa.....sobeto suru...age age ki hoy otai...... ,0
 thanks vai jette pari nay ta te ki valo khelata hose aty sob ,0
 nasir r bijoy k caiii ,0
 Boss ami tomar anek boro fen ,0
 agey jantam sob valo jar sesh valo tar ekhon dehi sob valo jar seshe gele putash  ,0
 vai nasir k kno neya hoina bolte paren ,0
 sakib vai musarrof ar jaygay nasir k anle balo hoto plz nasir k abar firiye anen ,0
 Ashraful na thakle aro koto kisu hobe.. ,0
 shakib vaiI er aro dorjo takar dorkar silo ,0
 Shakib vai match shes kora uchit chhilo ,0
 Nasir ke neya hok plz......... ,0
 Eto tarahura na kore single nile r e rokom result hoto na ,0
 mosharrof rubel re ki dorkar .  ,0
 vai nasir k newua jai na kuno mote ,0
 abar ek type ar short khelar ki dorka cilo.... ,0
 shakib vai plz agemi match a Nasir k chai tate apnr help chai ,0
 Banglar Manos aj jante chai naser keno dole nai ,0
 eto tara hura na korle hoto ,0
 Vai ar ektu dekhe sune khelte parten  ,0
 ei mach e jodi sakib vaiya ektu valo korte parto tobe amra mach ti hoyto jite jetam ,0
 Nassir ke nile amon ta hoto na ,0
 Amra harci tate dukkho nai .  .  .  . kintu apnr aro mat a thaka uttichet chilo .  . aj amra abr ager bangladesh ke dekaci next aro blo hbe .  .  ,0
 Kano hothat tumi gele kano noy tbe purota jure ??????????????????????????????????tmake vebe champion amra hotei to cholesilam .amader vetor shudhui tmi r to kiso paini thay ,0
 u r right. vai good. but sese tumi boro shot na nite o parte. ,0
 vai ki bolbo .  faltu player gulo na niye .  onno player nile to hoy. r sakib vai best. ,0
 nasir k khelte nite hb. r sakib vai apni r ektu khele gele vlo hoto ,0
 Amader k r kosto diyen na plz ai akti jayga amra 16 koti manus ak amader kadayen na r plz plz plz ,0
 Finish na dite parle to valo batting dam nai. ,0
 Kasto pelam khub Ok vule jabo anno eakti joy er janno. ,0
Jaiehok .  .  .  vai ektu Vebe chinte & ,0
Er Engiland er shathe khelar kono,0
 nasir k kn neya hoy na aita amra jante cai oddrish akta karone take neya hosse na ,0
 sakib er aro pore strok kora ochit chilo...now tension ,0
 ses muhurte amader k hotash koro na Allah ,0
 kalker mach a amra sobai nasir vai k dekte cai......... ,0
 Top order batsman chole gelei to match er obsta kharap hoea jai   eto chap . ten na nilei pare ,0
 ajib to big shot khelar ki dorkar... wicket rakhte hobe ,0
 Tamim musi mahmudulla sabbir kiser ato tara run to tik ase ,0
 Musfiq ar bikolpo anno jon ke ana hok ,0
 na vai vul bollen sommo onk din form e nai. onk sujog paise. so kisu din branch e bose thakle emnitei khela vlo hoye jabe. r imrul England er sathe onk vlo kele. eta onk age thekei ,0
 Hm tomar kothaieo jukte ache sob kichu team manage ment ar upor nirvor kore ,0
 Besi kisu asa kori na sudhu batting ta jno valo hoi...all out hoyen na plz ,0
 amake ekta ticket diya help koro shakib vaiya onek kosto korchi kintu kichutei ticket pacchi na #SAH75 ,0
 vai apnr bat e r run ase na keno. age to onk run korten ,0
 Sakib kal jeno 15 runs na hoi vai sei ta lokhoo rekho? ,0
 shakib vai apnar bowling osadharon but apni batting a aktu amar mone hoy series thaken na.... ,0
 Vai 5 ta ticket dea jabe...koyta din dre khujteci pai e na  ,0
 Ow my goodness 1000 ta dekha sesh O,0
 onno der sathe dekha krechi but tomar sathe hoa uteni......but ebar chesta krbo abar vai jan ,0
 ami KKR er khela dekte onek bar eschi dekte onek bar tomar sathe dekha krar chesta krechi but hoa oteni sujog ta... ,0
 ami nijeo cricket kheli kolkatar 1ta club er hoa  .  amar sb theke priyo player you .  a.b.d  .  goutom gumbir... but ekn 1ta job kri tai r valo kre cricket ta k time dite pari na ,0
 vai plz 100 chai apnar .  .  . onek din hoy na .  .  50 marar por 100 te convert krte parcen na ,0
 Vai onek din dore apnar hundred dekhi na ....babor azam 3 match 3 hundred ....england sathe 2 hundred dekhte chai ,0
 vai ami apnar onek boro fan????kono akdin jodi apnar sathe dekha korte partam....???? ,0
 Vaiyaa ami apnar shob che boro Ac D ,0
 oi vai amr name bole na kn ,0
 jodi nxt time DRMC te asen taile apnar pori moni k niye aisen ,0
 vi apnar theke batsman hisebe century cai.. ,0
 sakib bi apnar ami onek boro 1ta fan.apnar dahote roilo amar basay asben kinto.......?plz ,0
 mashrafee vai ki valo ace?previous match a pore giclo j? ,0
 vai ami apnake like kori na akhon ki korben ????? ,0
 bhaia ami apner ank boro akta bokto......... ,0
 bro khub sundor lagse???r apnar onek boro fan ami ,0
Bhaia ami apnar ek big fan. ,0
 vai ami apner onek boro fan ,0
 hi shakib vai valo asen..... ,0
 vai ami apnar onek boro fan ,0
 Boss .  apnar off spin khela ta arektu valo korte hobe boss  ,0
 jokhon apni tin formet ei 1st tokhon apnar ki korte isse kore vaia ,0
 Vaiya upner maya ta onek sundor Ami upner fan ,0
 I love u so much....ami tomar onek boro akta fan....jodi ai prithibi te tomar akta fan thake ta holam ami r jodi Kew na thake tahole bujhbe ami r ai prithibite nei ,0
 Hi baia k mon acen ami Singapore theke. ,0
 Mayanmar ar satha kivabe Bangladesh ar tulona dao a hoy,0
seta amra hoi r tarai hok.,0
 Banglades er Kotha asbe keno ora Myanmar er manus ora oder desei thakbe. ,0
 Amra cai na je bangladesh niye manus ato valo bole setake kew kharap bolok ,0
 Amnesty . TIB . etc ara kara seta amra vlovabe zani ,0
Amra ja jakhan thaka pari tar protibad koraci korbo o. ,0
 amnesty khub e baje kotha bolece .  .  .  age dekhte hobe myanmar theke lok gula kano ashtece .  .  .  .  age setar suraha nia kotha bol amnesty .  .  ,0
 Arakan er ordhek half Pura ta na tahole rohinga Rao ar tader deshe thaklona abar nijer thakar jaiga o pelo both sider solution ,0
 ama k add koro plz. ,0
 Chattagram ke Bangladesh theke alada kore swadhin kora hok ,0
 Ami alltime myanmarer sathe juddu krte prustut...bangladesh thek a baddu nidon hauk..tahle tara bujbo ,0
 ekhon ekta kaj kora jai,0
 Ora kothai jabe amr o jana nei...... allah help them.. ,0
 Allah tumi tader sohay how ,0
 Are bhai sobai jane era Bangladeshi.. kono rohingya na.. ,0
 ora thake jak Bangladese.kothay jabe akhon are.. ,0
 ontoto bachar jonno holeo oder bangladesh a aste din ,0
 Moslim vai der mok ti ci ,0
 jodi bolten jaiga ta kothai taile kichu taka diye help kortam oder... plz place tar nam bolen ,0
 Kanglu ra ase keno tHole ,0
 Dekh te se na pura world. ...Turkey sarkar kichu karar darkar ,0
 Alla tumi jalimder hat thake Muslim ke rokkhakoro noy to o der nermul nesses koredao amin ,0
 study kre thakle eta pore answer diyen... httpagniveer.comnaikexposed ,0
 Sahik tadanta na korei chanel bandha kara thik na. Ami kaoke 10taka sahajyo dilam ki khawar jonyo .  se jodi barud kine ate amar ki karar ache. ,0
 amra aj kon juge bas korce ,0
 kano onno kichu bondho hoyna ,0
 nayek saheb apni egie jan amra muslim ra apnar sathe aci....1jon modi kno hazar modi apnr kicu korte parbe na. ,0
 Ora eyajidy musolman. Oder kotha bole r Ki hobe. ,0
 Bartamane ami valo achi mane oporer asubhidar katha vabi na. Kintu mone rakha darkar ajke rohingader hal arokom to kal amaro hote pare. Tai uchit manbatar khatire tader sahojogita kara. ,0
 Border khule din. Eta amader jonno Allahr porikka. ,0
