id;text;emotion;lan;domain
2874;too much hats of creator;surprise;EN;funny_video
2880;কাচি দিয়া জিপলাইন বানাইছে;none;BN;funny_video
2924;i mean ota kbe release krben? :'3;none;EN;funny_video
2947;Abdur Rahman in Wonderland. :);none;RN;funny_video
2964;porn site er naam nibenna manush kharap bhabbe;none;RN;funny_video
2964;porn site er naam nibenna manush kharap bhabbe;none;RN;funny_video
2976;এটা করা ঠিক হয়নি;sad;RN;funny_video
2984;আপনাদের ক্রিয়িটিভিটি :D;joy;BN;funny_video
2991;brilliant;joy;EN;funny_video
2991;brilliant;joy;EN;funny_video
3032;BEST XD;joy;EN;funny_video
3047;ছিঃ,এভাবে অপমান নিজের দেশের মুভিকে,ছিঃ;disgust;BN;funny_video
3048;man fun is fun na bujle dheiken na .. keu apnare jor kortesena;disgust;EN;funny_video
3057;জোস!;joy;BN;funny_video
3079;Porishodho banglai kabbik Binodon;joy;RN;funny_video
3085;"Bangla Talkies name ki song er
";none;RN;funny_video
3096;"Evabe hole to channel ta maybe ekdin suspend hoe jabe😔
";fear;RN;funny_video
3096;"Evabe hole to channel ta maybe ekdin suspend hoe jabe😔
";sad;RN;funny_video
3099;"Bangla Talkies song tar nam ki
";none;EN;funny_video
3129;"Vai am I to Facebook salai na! 😭😭😭😭 video ta full deka holo 😢😢😢😭😭😭😭
";sad;RN;funny_video
3149;"movie tar name ki?
";none;RN;funny_video
3153;"Make dub with famous song please
";none;EN;funny_video
3214;"Jossssssssssssss
";joy;EN;funny_video
3229;"best
";joy;EN;funny_video
3242;"Vai crime pretrol nie anti video banan
";none;RN;funny_video
3271;"সাউয়ার আচোদা পোলাপাইন।
";anger;BN;funny_video
3274;"whats name of this song
";none;EN;funny_video
3293;"Haha 😂
";joy;RN;funny_video
3293;"Haha 😂
";joy;RN;funny_video
3296;"দারুন
";joy;BN;funny_video
3298;"moja paisi
";joy;RN;funny_video
3307;"জনি ভাই
";none;BN;funny_video
3323;"where the song
";none;EN;funny_video
3325;"movie tar name ki
";none;RN;funny_video
3327;"Outstanding Awesome Very good.
";joy;EN;funny_video
3334;"Mr. Bean er ei Movie tar nam ki?
";none;RN;funny_video
3352;"টাকার'রে কালা জাহাঙ্গীর 😂😂😂😂😂
";joy;RN;funny_video
3387;"Xoss hoise ..
";joy;EN;funny_video
3425;"বেশি মজা পাইলাম না । আগেরটা দারুন ছিল ।আশা করি পরেরটা জোস হবে । love u guys
";sad;BN;funny_video
3439;"Wow
";joy;EN;funny_video
3448;"vdio ato coto kn😡
";sad;RN;funny_video
3453;"ভিডিওটা দেখে অনেক হাসলাম, All the best
";joy;BN;funny_video
3456;"nice bro
";joy;RN;funny_video
3465;"Ekhon sadman bhai ke ar video te raken na kn?? Plz answer
";none;RN;funny_video
3494;"you are actually the racist
";anger;EN;funny_video
3494;"you are actually the racist
";disgust;EN;funny_video
3519;"I Iove you BangIa TaIkies 😍😍😍😍😍
";joy;RN;funny_video
3528;"বাল আসিস কই থেকে?
";anger;BN;funny_video
3550;"mr been er film tar nam ki?
";none;RN;funny_video
3560;"Sotti ki mr. Bean mara geshe
";sad;RN;funny_video
3622;"I like it it's good 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍😀😊😁😊😀😁😊😀😁😊😀😁😊😀😁😂😄😃☺😇😆🙌🙋🙆😸😹😺😻😍😍😍😱
";joy;RN;funny_video
3627;"Hmm
";none;EN;funny_video
3635;"moja pailam😜
";joy;RN;funny_video
3642;"Akta video banan Ipl nia.
";none;RN;funny_video
3661;"Onk moja pailam 😁😁😁
";joy;RN;funny_video
3684;"supper oise
";joy;EN;funny_video
3685;"ভাই হেসে তো পেটে খিল ধরে গেছে।অসাধারণ
";joy;BN;funny_video
3685;"ভাই হেসে তো পেটে খিল ধরে গেছে।অসাধারণ
";joy;BN;funny_video
3688;"🔥🔥
";none;RN;funny_video
3692;"Johny's last words:Bangla Talkies is the best channel😭
";joy;RN;funny_video
3705;"হাহাহাহ😁😁😁😁একদিনের মাছে ভাতে বাংগালি চোদাইয়া লাব নাই।।।😂😂😂😂
";joy;RN;funny_video
3705;"হাহাহাহ😁😁😁😁একদিনের মাছে ভাতে বাংগালি চোদাইয়া লাব নাই।।।😂😂😂😂
";disgust;RN;funny_video
3710;"""Bhetkayen na"" joss 😂😂😂
";joy;RN;funny_video
3756;"Khub Valo Laglo
";joy;RN;funny_video
3766;"coolll
";joy;EN;funny_video
3776;"movi tar link hobe???😁😁😁
";joy;RN;funny_video
3778;"Bhai first er scene e camera te Bangladeshi word ta bhul lekha. Was it intensional ??
";none;RN;funny_video
3787;"bhai music er link ta to deten
";none;RN;funny_video
3791;"Saifur rohman Tushar paile janaiyo fb id te knock daw same name
";none;RN;funny_video
3807;"Hi Bangladeshi akdiner Jonno bangali !!!!!!!!!!!!!
";surprise;RN;funny_video
3828;"moja pailam😁😁😂
";joy;RN;funny_video
3877;"আজবতো প্রশ্ন হবে ফাঁস আর সাধারণ জনগণ খাবে বাঁশ? প্রশ্ন ফাঁস নিয়ে চরম একটি
";anger;BN;funny_video
3878;"Shakib vai Akai Banai niso
";none;RN;funny_video
3893;"রাতে নোটিফিকেশন আসছে, ক্লিক করলাম বাট লেখা আসছে video হলো এটা?
";surprise;BN;funny_video
3893;"রাতে নোটিফিকেশন আসছে, ক্লিক করলাম বাট লেখা আসছে video হলো এটা?
";disgust;BN;funny_video
3953;"বাল আগেরটাই মজার ছিলো এখন সব ফালতু ভিডিও বানায়
";disgust;BN;funny_video
3963;"Good
";joy;EN;funny_video
3969;"vai eita ki movie??
";none;RN;funny_video
3973;"xoss
";joy;EN;funny_video
3986;"gd job
";joy;EN;funny_video
4009;"Rj Robi plz watch funny bangla meme
";none;EN;funny_video
4021;"vai guns of boom amip dekheli😂
";joy;RN;funny_video
4051;"Bangla talkies rock 🙂😎
";joy;RN;funny_video
4057;"We love you bangla talkies very much
";joy;EN;funny_video
4059;"MD Shohel .subscriber our funny video channel JOKER BOYS LTD
";none;EN;funny_video
4063;"Avoid koushik herohit .subscriber our funny video channel . JOKER BOYS LTD
";none;EN;funny_video
4068;"bangla talkies is
";none;EN;funny_video
4079;"ইলিশের বদলে সিলবার কার্প মাছ দিয়ে নববর্ষ পালন করা প্রতিটি মানুষকে জানাই শুভ নববর্ষ 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
";joy;RN;funny_video
4097;"2 t coment
";none;EN;funny_video
4113;"প্রথমে দেখে ভাল লাগল তবে শেষটা দেখে মনটা খারাপ হয়ে গেছে😭😭😭
";joy;RN;drama_video
4113;"প্রথমে দেখে ভাল লাগল তবে শেষটা দেখে মনটা খারাপ হয়ে গেছে😭😭😭
";sad;RN;drama_video
4118;"নাটকের জন্য শেষের টা কি খুব দরকার ছিল।
";sad;BN;drama_video
4156;"ইংলিশে অর্নাস মাষ্টার্স করা লোকের আবার চাকরির অভাব হয়?হয়তবা বেশি বেতনের চাকরি পায় না।হয়তবা সরকারি চাকরি পায় না?টিওশনির ও অভাব হয় না বুঝলেন ভাই।শালার জতসব ফালতু কাহিনি??যা তা একটা কাহিনি হলেই হলো না?
";surprise;BN;drama_video
4156;"ইংলিশে অর্নাস মাষ্টার্স করা লোকের আবার চাকরির অভাব হয়?হয়তবা বেশি বেতনের চাকরি পায় না।হয়তবা সরকারি চাকরি পায় না?টিওশনির ও অভাব হয় না বুঝলেন ভাই।শালার জতসব ফালতু কাহিনি??যা তা একটা কাহিনি হলেই হলো না?
";disgust;BN;drama_video
4174;"পরিচালকরা আমগোরে কান্দাইতে ভালো লাগে 😭😭😭😭😭
";sad;RN;drama_video
4183;"ধুস শেষ টা বেকার !
";disgust;BN;drama_video
4188;"natoke happy ending ki valo lage na naki director er ??😡😡 story ta valo chilo kintu pani ante giye apurbo more lage ni last er scene ta 😣😣😣
";sad;RN;drama_video
4213;"বাল আমার মাইরা ফেলছে কোন কিছু হল এইটা 😡😡😡
";anger;RN;drama_video
4213;"বাল আমার মাইরা ফেলছে কোন কিছু হল এইটা 😡😡😡
";disgust;RN;drama_video
4219;"আমিও তো অনেক Innocent
";none;BN;drama_video
4222;"আমি কমেন্ট পরে আর নাটক দেখলাম না
";none;BN;drama_video
4244;"ai jnnei Ami apurborer natok dekhina
";disgust;RN;drama_video
4258;"Bangladesh a ato sondhur natok thakte keno je baroter serial dekhe boji na
";disgust;RN;drama_video
4258;"Bangladesh a ato sondhur natok thakte keno je baroter serial dekhe boji na
";sad;RN;drama_video
4266;"baba character ta osthir laglo
";joy;EN;drama_video
4280;"Ending ta valo laglo ta purono hoye ending porjonto perfection chilo but last er scenario ta pura natok ta destroy kore Bannah vai ata notice korben
";disgust;EN;drama_video
4283;"A KEMON ENDING 😒
";sad;RN;drama_video
4306;"নাটক দেখার মুড নষ্ট করে দেয় এরা । কেন লাস্ট এ এটা না করলে আর হতো
";disgust;BN;drama_video
4306;"নাটক দেখার মুড নষ্ট করে দেয় এরা । কেন লাস্ট এ এটা না করলে আর হতো
";sad;BN;drama_video
4332;"The ending is same to 'Cheleti Obontike Bhalobeshechilo' by the same director.
";none;EN;drama_video
4363;"pura natok ta xoss chilo kintu last a amon bal korar mane ki pura mood nosto hoiya gelo
";disgust;RN;drama_video
4387;"vai shob natok e ki fokir thaka lgbo tmr borochele dia 10 ta natok banaite cao
";disgust;RN;drama_video
4406;"to this natok
";none;EN;drama_video
4406;"to this natok
";none;EN;drama_video
4407;"এই নাটক ভাল লাগে নাই।। কোন গল্প নাই কিছু। ভিন্ন কিছু নিয়ে আসতে পারে নাহ আমাদের পরিচালক।। মনজুড়ে নাটকটা অনেক বেস্ট ছিল
";disgust;BN;drama_video
4407;"এই নাটক ভাল লাগে নাই।। কোন গল্প নাই কিছু। ভিন্ন কিছু নিয়ে আসতে পারে নাহ আমাদের পরিচালক।। মনজুড়ে নাটকটা অনেক বেস্ট ছিল
";sad;BN;drama_video
4419;"অপূর্বের নাটক গুলো সব সময় অসাধরণ। সব নাটকে শিখার কিছু থাকে এই জন্য অপূর্বকে এতো ভালো লাগে।সমাজের বাস্তব দিক গুলো তুলে ধরতে চায় সে।
";joy;BN;drama_video
4421;"পুরাই অস্থির
";joy;BN;drama_video
4423;"shesher kahini ta thik holo na
";sad;RN;drama_video
4428;"last 20 second rrr janno full natok faltu mona hoyca
";disgust;EN;drama_video
4479;"টাকা নাই এত সুন্দর ফ্লাট এ থাকে ক্যা।
";surprise;BN;drama_video
4492;"কেন শেষে মারা জেতে হল আজব ত
";surprise;BN;drama_video
4492;"কেন শেষে মারা জেতে হল আজব ত
";sad;BN;drama_video
4519;"Last time balo laglo na
";disgust;RN;drama_video
4524;"Why sad ending 😰😰😰😰😰
";sad;RN;drama_video
4527;"subscribe our channel
";none;EN;drama_video
4540;"Ending shouldn't be like like also sad enfing but it should have syncronization! From mabrur rashid banna, it cannot be expected at all!
";surprise;EN;drama_video
4540;"Ending shouldn't be like like also sad enfing but it should have syncronization! From mabrur rashid banna, it cannot be expected at all!
";disgust;EN;drama_video
4540;"Ending shouldn't be like like also sad enfing but it should have syncronization! From mabrur rashid banna, it cannot be expected at all!
";sad;EN;drama_video
4540;"Ending shouldn't be like like also sad enfing but it should have syncronization! From mabrur rashid banna, it cannot be expected at all!
";surprise;EN;drama_video
4540;"Ending shouldn't be like like also sad enfing but it should have syncronization! From mabrur rashid banna, it cannot be expected at all!
";disgust;EN;drama_video
4584;"বাংলাদেশ এর কিছু পরিচালক লাস্ট এ accident ছারা কিছু বোঝে না।।।
";disgust;BN;drama_video
4591;"Last Scene tai Natok take falru kore Hero ra ki Road cross korte pare na? abal sob
";anger;RN;drama_video
4591;"Last Scene tai Natok take falru kore Hero ra ki Road cross korte pare na? abal sob
";disgust;RN;drama_video
4591;"Last Scene tai Natok take falru kore Hero ra ki Road cross korte pare na? abal sob
";disgust;RN;drama_video
4598;"Safa kobir er ovinoy ekdom e valo hoina
";disgust;RN;drama_video
4598;"Safa kobir er ovinoy ekdom e valo hoina
";sad;RN;drama_video
4736;"ki golpo ki hoilo
";surprise;RN;drama_video
4738;"aj kal ki natok a nayok mara zaoyar tren sob natok ai ekoi seen
";disgust;RN;drama_video
4770;"গাজাখোরী গল্প!!! ফাউল অভিনয়!!! গল্প আর খুজে পায় না নাকি!!! ফাজলামী যত্তোসব!!!
";anger;BN;drama_video
4776;"natok ta valo chilo but sesh ta 😒😒😒
";joy;RN;drama_video
4776;"natok ta valo chilo but sesh ta 😒😒😒
";sad;RN;drama_video
4777;"ostir!😍😍😍😍😍
";joy;RN;drama_video
4816;"Ae natak er happy ending hao uchit sad ending natak er asol fact ta nasto kore
";sad;RN;drama_video
4822;"সব গুলো কেমন যায় খুব সুন্দর
";joy;BN;drama_video
4837;"Wowwwwwwwwwwwwwwwwwwwww super
";joy;EN;drama_video
4843;"এইসব নায়িকা চলবেনা। বাচ্চা ভাচ্চা ভাব। এম্নিতেই সাফার কথা বলা অন্য সব কিছুতেই ভাব বেশি
";disgust;BN;drama_video
4846;"ফালতু কি একটু বুঝিয়ে বলবেন আপু
";disgust;BN;drama_video
4865;"Natoker sheshe mil ta dile ki hoto?? Shob natokei ki tragedy hotei hobe?? Natokta to valoi Ending tar jonno ekdom faltu
";disgust;RN;drama_video
4865;"Natoker sheshe mil ta dile ki hoto?? Shob natokei ki tragedy hotei hobe?? Natokta to valoi Ending tar jonno ekdom faltu
";sad;RN;drama_video
4875;"Story ar ending ki r cilo
";disgust;EN;drama_video
4884;"kon tution 15 hajar taka beton day vai 😰
";surprise;RN;drama_video
4888;"সব টিক আছি শেষে ভাল লাগল না???? মন খারাপ হয়ে গেছে।। কোন কারনে এই ছিন দিলে।।।
";sad;BN;drama_video
4907;"English a master's kore akta normal job o pawa jai :-P
";none;RN;drama_video
4920;"amr dekha life sob chaite baje tao aporbo onk boro ai story ta oporbo sate melay
";disgust;EN;drama_video
4942;"কাঁদানোর ঢং দেইখা আমি অবাক😂😂😂
";surprise;RN;drama_video
4979;"SUBSCRIBE ME
";none;EN;drama_video
4980;"nice twist. moja good story
";joy;EN;drama_video
4982;"Ai ek type natok koto kora Apurba da🤓
";surprise;RN;drama_video
4982;"Ai ek type natok koto kora Apurba da🤓
";surprise;RN;drama_video
4994;"so nic moja pilam 😍✌😍
";joy;RN;drama_video
5017;"Sonar Natok,, Aita ( Gold) Sona na,,,ata baler Sona
";anger;EN;drama_video
5017;"Sonar Natok,, Aita ( Gold) Sona na,,,ata baler Sona
";disgust;EN;drama_video
5029;"শেষটা ভাল হয় নাই। বিরক্তিকর ছিল।
";disgust;BN;drama_video
5035;"এইটা কি হলো নাটকের ভিতিরে ছবির গল্প ধুর মিয়া পাউল কাহিনী
";disgust;BN;drama_video
5035;"এইটা কি হলো নাটকের ভিতিরে ছবির গল্প ধুর মিয়া পাউল কাহিনী
";sad;BN;drama_video
5049;"😭😭😭😭😭😭
";sad;RN;drama_video
5071;"Onk vlo chilo bt last seen ta moteo vlo Hoi ni Start comedy tai end ta o comedy rakha uchit chilo R ha Babar character ta Joss lgse bt end vlo hoi ni 😂😂😂
";joy;RN;drama_video
5071;"Onk vlo chilo bt last seen ta moteo vlo Hoi ni Start comedy tai end ta o comedy rakha uchit chilo R ha Babar character ta Joss lgse bt end vlo hoi ni 😂😂😂
";disgust;RN;drama_video
5071;"Onk vlo chilo bt last seen ta moteo vlo Hoi ni Start comedy tai end ta o comedy rakha uchit chilo R ha Babar character ta Joss lgse bt end vlo hoi ni 😂😂😂
";sad;RN;drama_video
5077;"ভালো লাগলো
";joy;BN;drama_video
5098;"sotti apurbo
";joy;RN;drama_video
5132;"Apurba bhaii daurun ( from siliguri, India)
";joy;RN;drama_video
5150;"মান্নাহ ভাই সবসময় অসাধারণ💜
";joy;RN;drama_video
5174;"last a kosto pailam
";sad;EN;drama_video
5184;"Sheshe ei rokom ta na korleo sara ki ending nai
";surprise;RN;drama_video
5184;"Sheshe ei rokom ta na korleo sara ki ending nai
";disgust;RN;drama_video
5195;"সস্তা ভিউর জন্য আজকাল পরিচালকরা আবেগ নিয়ে খেলতেছে । লেইম ইন্ডিং 😡
";disgust;RN;drama_video
5199;"চমৎকার নাটক
";joy;BN;drama_video
5260;"Mara gelo kn😭😭😭 Unexpected puray Onk sundr cilo kintu seshe ashe amnta hoilo😭😭😭
";sad;RN;drama_video
5325;"The end ta valo
";joy;EN;drama_video
5327;"Last e morar ghotona ta na thakle aro vlo lagto
";sad;RN;drama_video
5330;"এইটায় অনেক কিছু শিখার আছে,, শিখলাম নাটকটা দেখে, ভালো লাগলো
";joy;BN;drama_video
5339;"Apurbo manei apurbo
";joy;RN;drama_video
5345;"why did you add a severe accident at the end of a story!
";surprise;EN;drama_video
5361;"ফাউল নাটক
";disgust;BN;drama_video
5363;"Valobasay ki kosto chara adou kichu ache!!!!!
";sad;RN;drama_video
5382;"Finishing evabe na hole o parto😂😂😂
";sad;RN;drama_video
5396;"শেষ মুহূর্তে মরার সিন টা না আসলে আরো ভালো লাগত। দুজন এর বিয়ে মেনে নিত পরিবার।
";sad;BN;drama_video
5406;"Sob kichu thik chilo but lastme kamon laglo
";disgust;RN;drama_video
5412;"Simply bekkar
";none;EN;drama_video
5414;"ছেলেটা কিনতুর মরার উচিত ছিল না
";sad;BN;drama_video
5443;"apurbor সাথে মেয়েটিকে বাচচা মনে হয়।
";disgust;BN;drama_video
5452;"দারুন গল্প
";joy;BN;drama_video
5464;"wow level er bannah porichalona kora .joss natok gula amdr majhe tule dhorara
";joy;RN;drama_video
5482;"এ রকম হবে শেষ টা কখনো ভাবি নাই । ভাল লাগছে নাটক টা।
";joy;BN;drama_video
5482;"এ রকম হবে শেষ টা কখনো ভাবি নাই । ভাল লাগছে নাটক টা।
";surprise;BN;drama_video
5525;"ei them song ta key amake deu na please
";none;RN;drama_video
5534;"কি দরকার ছিলো লাষ্টে কাদানোর
";sad;BN;drama_video
5561;"Happy ending hole ki gunah hoy???😡😡😭😭😭😭😭
";sad;RN;drama_video
5569;"Aalu bhaat tarpor apple iPhone 7
";none;RN;drama_video
5580;"খোব ভালো লাগলো নাটক টা
";joy;BN;drama_video
5586;"bal End a morta k 😡😡
";disgust;RN;drama_video
5589;"Bad ending:3
";disgust;EN;drama_video
5589;"Bad ending:3
";sad;EN;drama_video
5609;"Iloveuuu safa kabir and aurbo
";joy;RN;drama_video
5647;"অপূর্ব সাফা কবির অনেক সুন্দর জুটি,,,
";joy;BN;drama_video
5666;"হায় হায়, নাটকটা এভাবে শেষ হল কেন? খুব কষ্ট লাগল তো
";sad;BN;drama_video
5673;"safa kobir kadte jane deth ovinoy ta dorker cilona
";disgust;RN;drama_video
5679;"so nice & different history, but last scene is unexpected. why this type of finishing is again & again!!!!! Apurba is the king of bangladeshi natok.
";joy;EN;drama_video
5679;"so nice & different history, but last scene is unexpected. why this type of finishing is again & again!!!!! Apurba is the king of bangladeshi natok.
";surprise;EN;drama_video
5688;"Safa 😍😍😘
";joy;RN;drama_video
5727;"আজবতো ।।।। মরতেই হবে
";surprise;BN;drama_video
5754;"KHAN হুম,,আমার ও ভালো লাগছে,,,,
";joy;BN;drama_video
5754;"KHAN হুম,,আমার ও ভালো লাগছে,,,,
";joy;BN;drama_video
5756;"Kazi Tariqul Islam abar kopale haat ta tule dia chole gelo Just joss 😂😂😂😂
";joy;RN;drama_video
5782;"দেখি কেমন লাগে
";none;BN;drama_video
5809;"Shipon Ahmed mil r kothay Holo? Bulsheet end
";disgust;RN;drama_video
5811;"কেন যে এত মেকাফ দেয়,,অসাধারণ নাটক,,
";joy;BN;drama_video
5811;"কেন যে এত মেকাফ দেয়,,অসাধারণ নাটক,,
";disgust;BN;drama_video
5825;"অনেক ভাল ছিল নাটকটা
";joy;BN;drama_video
5825;"অনেক ভাল ছিল নাটকটা
";joy;BN;drama_video
5834;"Nahid Hassan হ্যাপি এন্ডিং দিলে মানুষ বেশিদিন মনে রাখেনা। তাই স্যাড এন্ডিং লাগে।
";none;BN;drama_video
5839;"অসাধারণ একটা গল্প! অপূর্ব + মম আর অপূর্ব + মেহজাবিন এর পর এখন অপূব + সাফা আগামীর মেগা-হিট জুটি :)
";joy;BN;drama_video
5850;"471 ta dislike !!!
";surprise;EN;music_video
5856;"Vy gn ta shune kthay jno hariye gelam😍😍sotti e oshadhsron
";joy;RN;music_video
5860;"amazin
";joy;EN;music_video
5862;"its 2018 and I'm still addicted to this song ♥
";joy;EN;music_video
5898;"Awesome From
";none;EN;music_video
5946;"বুকের পাজরে উরে প্রজাপতি!! """"""
";none;BN;music_video
5961;"ভিডিওটা দিয়ে কি বুঝাতে চেয়েছে কেউ একটু বলবেন?😲
";surprise;RN;music_video
5990;"কিছু বলার নাই।এক কথায় অসাধারন।
";joy;BN;music_video
6030;"all time respect shironamhin🙃🙃🙃
";joy;RN;music_video
6038;"কী লিরিক্স রে শিরোনামহীন বলেই সম্ভব
";surprise;BN;music_video
6082;"at-least once in a week :)
";joy;EN;music_video
6097;"oossaamm
";joy;RN;music_video
6098;"আমার সবচাইতে প্রিয় একটা গান
";joy;BN;music_video
6114;"আবাল মানুষ কিভাবে এতো সুন্দর একটা গানে ডিসলাইকে দেয়??
";disgust;BN;music_video
6134;"osadaron akta song
";joy;EN;music_video
6136;"Zia wrote it
";none;EN;music_video
6140;"vlo lagche
";joy;RN;music_video
6171;"sei level
";surprise;RN;music_video
6172;"what a
";surprise;EN;music_video
6188;"very much addicted to the what fearless lyrics and congrats to the team of
";joy;EN;music_video
6194;"জিয়া ভাই দয়া করে এই গানটার অন্তর্নিহিত অরথটা ব্যাখ্যা দিবেন plz plz plz
";none;BN;music_video
6202;"yah bro
";none;RN;music_video
6208;"This video is so difficult to understand. Can somebody explain what actually said.
";disgust;EN;music_video
6213;"বুকের ভেতর ডানা ঝাপটায় পাখি বেপরুয়া
";none;BN;music_video
6258;"a songs .. awesome ..
";joy;EN;music_video
6259;"সেই কবে ছিল উচ্ছাস, কিছু শঙ্কায় ভরা চুম্বন ছিল প্রেমিকার ঘন নিশ্বাস, হাসিমুখে ফোয়ারা।
";joy;BN;music_video
6273;"bokta kaptace
";fear;RN;music_video
6298;"pura matha a lyrics
";surprise;EN;music_video
6305;"Sorry bujle pari nai,Subtitle ta ki ei gaan er meaning? Love this song too :)
";joy;EN;music_video
6306;"Mon diya song ta suno taho le bujte parbe. :)
";none;RN;music_video
6315;"owesome song
";joy;EN;music_video
6318;"Beshi xosss.
";joy;RN;music_video
6335;"best bengali music
";joy;EN;music_video
6375;"আমি 2K18 তেও।
";none;BN;music_video
6387;"2018 anyone ?
";none;EN;music_video
6391;"ডেইলি কম হলেও ১০ বার শুনি, নেশার মত হয়ে গেছে, ধন্যবাদ অর্ণব দা।
";joy;BN;music_video
6401;"who's from 2018?
";none;EN;music_video
6416;"Ami ekon o porjn2 gaan ta na hoi koto hajar bar sunchi hishbr bahire 💗 fully hrt tuch in song amr life er best ekta song
";joy;RN;music_video
6427;"Arnob is the best
";joy;EN;music_video
6431;"২০১৮ তে কে কে শুনছেন?
";none;BN;music_video
6450;"ei gaan ta sunte onek vlo lage
";joy;RN;music_video
6461;"২০১৮ তে কেউ শুনছো গানটা???
";none;BN;music_video
6530;"Akhon o valo lagy gan Prottendin raty suni koyekbar
";joy;RN;music_video
6551;"ভালবাসার ৮ বছর😍 যত শুনি তত ভাল লাগে গানটা🤙🏽
";joy;RN;music_video
6567;"Ai gun ta sunle mon ta amnitei vlo hoye jay,,,,,
";joy;RN;music_video
6615;"I love this song
";joy;EN;music_video
6625;"feel something different
";none;EN;music_video
6629;"Just awesome song ❤️❤️❤️🔥🔥🔥😘😘😘
";joy;RN;music_video
6642;"2017! Aiming for 100 times today! Still listening :)
";joy;EN;music_video
6646;"ota esraj, not viollib
";none;EN;music_video
6650;"Rima mannan really?
";surprise;EN;music_video
6678;"NIce da
";joy;RN;music_video
6679;"তোমার জন্যে নীল যে তারার একটু খানি আলো ভোরের রং রাতে মিশে গোলাপের সাদার মায়ায় মিশিয়ে দিয়ে ভাবি আবছা নীল তোমার লাগে ভালো ভাবনা আমার শিমুল ডালে লালযে আগুন জ্বালে মহুয়ার বনে মাতাল হওয়া খেলে এক মুঠো রোদ আকাশ ভরা তারা ভিজে মাটিতে জলের নকশা করা মন কে শুধু পাগল করে ঘিরে এতগুলো রাত অধীর হয়ে জেগে থাকা তোমায় ঘিরে আমার ভালো ভরা তারার আলোয় তোমায় দেখে দেখে ভালোবাসার পাখি মেলে মন ভোলানো
";none;BN;music_video
6687;"love u arnob
";joy;EN;music_video
6702;"লাইফে এমন গান খুব কম শুনেছি,।হাজার বার শুনেও খারাপ লাগেনি
";joy;BN;music_video
6742;"Waw song say 2008 theke ajo sunci
";joy;RN;music_video
6754;"this is the best song ever made
";joy;EN;music_video
6775;"Who is listening today?
";none;EN;music_video
6782;"gaan ta sunle sob kicu ujar kore tmke valobashte icche kore
";joy;RN;music_video
6791;"অনেক দিন পর শুনলাম জোস একটা song
";joy;BN;music_video
6792;"ostir song 💜
";joy;RN;music_video
